skill,skill_id,user_id,correct
数据结构,6,13254,1
数据结构,6,13710,0
数据结构,6,6432,1
数据结构,6,6152,0
数据结构,6,10393,1
数据结构,6,9822,0
数据结构,6,13383,1
数据结构,6,10401,1
数据结构,6,10433,1
数据结构,6,10402,1
数据结构,6,17239,1
数据结构,6,17240,0
数据结构,6,17241,1
数据结构,6,17242,1
数据结构,6,5702,1
数据结构,6,6734,1
数据结构,6,6846,1
数据结构,6,6321,1
数据结构,6,10312,1
数据结构,6,2111,1
数据结构,6,9323,1
数据结构,6,6031,1
数据结构,6,5717,1
数据结构,6,5722,1
数据结构,6,8634,1
数据结构,6,9592,1
数据结构,6,6982,0
数据结构,6,6866,1
数据结构,6,8871,1
数据结构,6,5746,1
数据结构,6,2163,1
数据结构,6,5758,1
数据结构,6,4382,1
数据结构,6,2905,1
数据结构,6,9803,1
数据结构,6,6081,1
数据结构,6,7254,1
数据结构,6,8649,1
数据结构,6,8875,1
数据结构,6,10355,1
数据结构,6,6995,1
数据结构,6,3015,1
数据结构,6,7772,1
数据结构,6,7635,1
数据结构,6,6421,1
数据结构,6,6434,1
数据结构,6,10378,1
数据结构,6,8673,1
数据结构,6,6445,1
数据结构,6,9894,1
数据结构,6,6148,1
数据结构,6,6453,1
数据结构,6,10297,1
数据结构,6,9900,0
伸展树,44,9585,1
伸展树,44,12943,1
伸展树,44,16955,1
伸展树,44,2617,1
伸展树,44,6732,1
伸展树,44,2625,1
伸展树,44,14289,1
伸展树,44,6312,1
伸展树,44,5451,1
伸展树,44,6024,0
伸展树,44,5607,1
伸展树,44,6319,1
伸展树,44,2108,0
伸展树,44,13004,1
伸展树,44,7732,0
伸展树,44,10313,1
伸展树,44,7189,1
伸展树,44,6856,1
伸展树,44,10314,1
伸展树,44,6976,1
伸展树,44,4830,1
伸展树,44,8894,1
伸展树,44,8629,1
伸展树,44,6859,1
伸展树,44,8897,0
伸展树,44,8870,1
伸展树,44,9859,1
伸展树,44,7742,1
伸展树,44,5731,1
伸展树,44,4370,1
伸展树,44,4057,1
伸展树,44,5734,1
伸展树,44,6981,1
伸展树,44,5736,1
伸展树,44,6865,1
伸展树,44,2823,1
伸展树,44,6357,1
伸展树,44,7046,1
伸展树,44,8643,1
伸展树,44,6361,0
伸展树,44,13268,1
伸展树,44,2897,1
伸展树,44,4086,1
伸展树,44,1832,1
伸展树,44,10121,1
伸展树,44,4341,1
伸展树,44,10322,1
伸展树,44,5782,1
伸展树,44,5611,1
伸展树,44,9877,1
伸展树,44,15401,1
伸展树,44,7053,1
伸展树,44,10133,1
伸展树,44,10323,1
伸展树,44,4622,1
伸展树,44,13581,1
伸展树,44,4807,1
伸展树,44,6394,1
伸展树,44,13715,1
伸展树,44,9202,1
伸展树,44,6089,1
伸展树,44,6891,1
伸展树,44,7057,1
伸展树,44,16957,1
伸展树,44,7764,1
伸展树,44,13716,1
伸展树,44,6096,0
伸展树,44,6097,1
伸展树,44,8823,1
伸展树,44,17082,1
伸展树,44,6412,1
伸展树,44,7774,1
伸展树,44,10328,1
伸展树,44,6427,1
伸展树,44,8669,1
伸展树,44,6437,1
伸展树,44,9892,1
伸展树,44,10356,1
伸展树,44,9893,1
伸展树,44,7073,1
伸展树,44,10296,1
伸展树,44,10331,1
伸展树,44,7422,1
伸展树,44,5858,1
伸展树,44,6154,1
伸展树,44,10332,0
伸展树,44,7994,1
伸展树,44,14695,1
伸展树,44,14697,0
伸展树,44,10299,1
伸展树,44,10379,1
伸展树,44,10380,1
伸展树,44,16398,1
伸展树,44,7495,1
伸展树,44,10148,1
伸展树,44,10429,1
伸展树,44,9026,1
伸展树,44,6500,1
伸展树,44,10151,0
伸展树,44,10176,1
伸展树,44,10339,1
伸展树,44,10152,1
伸展树,44,13024,1
伸展树,44,10155,0
伸展树,44,9935,1
伸展树,44,7683,1
伸展树,44,10218,1
伸展树,44,10434,0
伸展树,44,13002,1
